"Probe"	"Feature"	"Chr"	"Start"	"End"	"P.value"	"FDR"	"Log2.Fold.Change"	"Shrunk.Log2.Fold.Change"
"Chr6:88498951-88500000"	"null"	"6"	88498951	88500000	1.5225855e-09	4.4874778e-08	2.4053068	-2.1740005
"Chr6:88517851-88518750"	"null"	"6"	88517851	88518750	0.0003807937	0.0019728725	1.9008734	-1.5924689
"Chr6:88639201-88640100"	"null"	"6"	88639201	88640100	8.678324e-06	8.190289e-05	-1.5364661	1.4222043
"Chr6:88834651-88835400"	"null"	"6"	88834651	88835400	0.8855183	0.9230124	0.06795953	-0.05904046
"Chr6:89212501-89213550"	"null"	"6"	89212501	89213550	0.0022866847	0.008638392	-1.3657835	1.2031449
"Chr6:89490451-89491050"	"RNGTT"	"6"	89490451	89491050	2.0192036e-05	0.00016661231	-1.9351428	1.7004507
"Chr6:89672551-89674200"	"RNGTT"	"6"	89672551	89674200	0.04004064	0.08754713	-0.43871018	0.4255995
"Chr6:89692051-89693100"	"null"	"6"	89692051	89693100	0.20822926	0.31755498	-0.5718223	0.5017438
"Chr6:89777101-89778150"	"null"	"6"	89777101	89778150	2.647835e-05	0.00020864155	-1.5318975	1.4052036
"Chr6:90007051-90010050"	"GABRR2"	"6"	90007051	90010050	0.39287144	0.51348	-0.39160424	0.34301397
"Chr6:90347551-90349200"	"LYRM2"	"6"	90347551	90349200	0.3180972	0.43767983	-0.17253421	0.16912594
"Chr6:90528451-90530550"	"MDN1"	"6"	90528451	90530550	0.41455922	0.5340566	-0.19760357	0.19008042
"Chr6:90538651-90540450"	"null"	"6"	90538651	90540450	0.4495138	0.56625754	-0.16584459	0.16063134
"Chr6:90708601-90709500"	"BACH2"	"6"	90708601	90709500	0.49585816	0.6093268	0.39957342	-0.32434928
"Chr6:90712501-90713550"	"BACH2"	"6"	90712501	90713550	0.9768877	0.98502535	0.011083247	-0.0100862635
"Chr6:90735151-90736200"	"null"	"6"	90735151	90736200	0.040361732	0.088114254	1.3597783	-1.0479125
"Chr6:90777601-90778800"	"null"	"6"	90777601	90778800	0.8270421	0.88026404	-0.13100936	0.10545295
"Chr6:90795901-90796950"	"null"	"6"	90795901	90796950	0.013642993	0.037184063	1.4742298	-1.1879519
"Chr6:90812851-90813900"	"null"	"6"	90812851	90813900	0.59526175	0.69772154	0.26253104	-0.9996152
"Chr6:90866251-90867150"	"null"	"6"	90866251	90867150	0.000255459	0.0014131212	-1.3734018	1.2551461
"Chr6:90927451-90929400"	"null"	"6"	90927451	90929400	0.468745	0.58409965	0.17518759	-0.16854058
"Chr6:90931201-90933300"	"null"	"6"	90931201	90933300	0.30844828	0.42802775	0.38032383	-0.34761655
"Chr6:90993601-90996150"	"null"	"6"	90993601	90996150	0.104647025	0.18666188	0.5581864	-0.516945
"Chr6:91078351-91079700"	"null"	"6"	91078351	91079700	0.0006315234	0.0030000387	1.327783	-1.2051578
"Chr6:91115551-91116600"	"null"	"6"	91115551	91116600	0.78284067	0.8479063	-0.13014176	0.11314903
"Chr6:91120651-91122000"	"null"	"6"	91120651	91122000	0.25405034	0.36962768	-0.5138289	0.4523564
"Chr6:91188601-91189650"	"null"	"6"	91188601	91189650	0.7919153	0.8547776	0.098532446	-0.0900659
"Chr6:91296151-91297650"	"MAP3K7"	"6"	91296151	91297650	0.20512494	0.31389934	-0.24497609	0.23894912
"Chr6:91356601-91357350"	"null"	"6"	91356601	91357350	0.7566263	0.8286276	0.15288396	-0.13124058
"Chr6:91703401-91703850"	"null"	"6"	91703401	91703850	0.57512045	0.6802805	0.25282288	-0.22226344
"Chr6:95346601-95347200"	"null"	"6"	95346601	95347200	0.7825174	0.84771967	-0.11478484	0.10263749
"Chr6:96024751-96026400"	"null"	"6"	96024751	96026400	0.06315994	0.12545925	-0.36403632	0.3548453
"Chr6:96425701-96426900"	"null"	"6"	96425701	96426900	0.28159064	0.39955828	0.53772366	-0.46066642
"Chr6:96967651-96970800"	"UFL1"	"6"	96967651	96970800	0.09259485	0.16978577	-0.27470198	0.2698443
"Chr6:97284751-97286100"	"null"	"6"	97284751	97286100	0.4910326	0.6047305	-0.23720856	0.21962012
"Chr6:97345051-97347300"	"NDUFAF4"	"6"	97345051	97347300	0.9303199	0.95445573	0.023167139	-0.022119695
"Chr6:97371901-97373250"	"null"	"6"	97371901	97373250	0.014126979	0.038233355	-1.0314884	0.92156196
"Chr6:97386451-97387800"	"null"	"6"	97386451	97387800	0.7276305	0.80661577	-0.17360657	0.1486885
"Chr6:97608301-97608600"	"MMS22L"	"6"	97608301	97608600	0.020190785	0.050859567	-1.1761231	1.003763
"Chr6:97730401-97731750"	"MMS22L"	"6"	97730401	97731750	0.033945255	0.0770642	-0.45642588	0.44259188
"Chr6:97888351-97888950"	"null"	"6"	97888351	97888950	2.329356e-06	2.6673233e-05	-2.783723	2.2524385
"Chr6:98042701-98043150"	"null"	"6"	98042701	98043150	0.48627296	0.600366	-0.31273994	-0.60449576
"Chr6:98395501-98396550"	"null"	"6"	98395501	98396550	0.007447937	0.022760944	-1.2200989	1.0708185
"Chr6:99394651-99396600"	"null"	"6"	99394651	99396600	0.33389208	0.4541592	-0.20972134	0.20325994
"Chr6:99405001-99406050"	"null"	"6"	99405001	99406050	1.5312708e-06	1.8708683e-05	2.9111784	-2.3295374
"Chr6:99567151-99567750"	"null"	"6"	99567151	99567750	7.194776e-08	1.3448035e-06	-2.7434828	2.3364682
"Chr6:99625651-99626850"	"null"	"6"	99625651	99626850	0.0062885885	0.019839808	-1.1186808	1.005976
"Chr6:99777901-99778650"	"C6orf168"	"6"	99777901	99778650	0.84608066	0.8941134	0.071504116	-0.06551353
"Chr6:99797401-99799050"	"C6orf168"	"6"	99797401	99799050	0.24869378	0.36369097	-0.37200505	0.3476075
"Chr6:99841351-99842700"	"COQ3"	"6"	99841351	99842700	0.027261695	0.06454684	-0.45993584	0.44684452
"Chr6:99872101-99874500"	"null"	"6"	99872101	99874500	0.20129746	0.3095715	-0.23428997	0.22909425
"Chr6:99962551-99964500"	"USP45"	"6"	99962551	99964500	0.6932789	0.7787244	-0.15249015	0.13852061
"Chr6:99968401-99970050"	"null"	"6"	99968401	99970050	0.24838215	0.3633782	-0.28167513	0.27079535
"Chr6:100015501-100017150"	"CCNC"	"6"	100015501	100017150	0.38805944	0.5088705	-0.1970899	0.1903912
"Chr6:100535551-100536600"	"null"	"6"	100535551	100536600	0.00818461	0.024585245	1.6367469	-1.2989146
"Chr6:100555201-100555950"	"null"	"6"	100555201	100555950	0.011318587	0.03205334	-1.2501534	1.0748967
"Chr6:100650151-100651950"	"null"	"6"	100650151	100651950	6.76955e-27	7.742803e-24	4.4115834	-3.9582837
"Chr6:100730701-100731900"	"null"	"6"	100730701	100731900	4.488151e-05	0.00032521598	2.3754032	-1.931509
"Chr6:100744201-100745850"	"null"	"6"	100744201	100745850	3.177193e-11	1.4997359e-09	3.8370442	-3.123183
"Chr6:100747651-100749150"	"null"	"6"	100747651	100749150	6.28811e-14	5.9934553e-12	4.0008636	-3.3504207
"Chr6:100923451-100924500"	"null"	"6"	100923451	100924500	0.803321	0.8639528	0.11872623	-0.102868736
"Chr6:100952251-100953450"	"ASCC3"	"6"	100952251	100953450	0.014450434	0.038952775	1.6627194	-1.2661884
"Chr6:101328151-101330100"	"null"	"6"	101328151	101330100	0.39561436	0.5161802	-0.14556313	0.14273487
"Chr6:101750101-101751300"	"null"	"6"	101750101	101751300	0.08310251	0.15613486	-0.71116614	0.6383425
"Chr6:102045301-102046200"	"GRIK2"	"6"	102045301	102046200	0.8656372	0.90773016	0.11418292	-0.08736028
"Chr6:102053401-102054600"	"GRIK2"	"6"	102053401	102054600	0.008848412	0.026216408	1.8544163	-1.3828709
"Chr6:102062251-102063450"	"GRIK2"	"6"	102062251	102063450	0.48085886	0.5953033	0.6650048	-0.41524255
"Chr6:102113851-102114900"	"GRIK2"	"6"	102113851	102114900	0.50585693	0.6183736	0.39449042	-0.31910607
"Chr6:104565901-104566950"	"null"	"6"	104565901	104566950	0.74411106	0.81919503	0.19300787	-0.881964
"Chr6:105130651-105131550"	"null"	"6"	105130651	105131550	0.9310575	0.9550477	-0.038205758	0.033763457
"Chr6:105237301-105238200"	"HACE1"	"6"	105237301	105238200	0.00077405997	0.0035397504	2.2829397	-1.7385818
"Chr6:105307051-105308400"	"HACE1"	"6"	105307051	105308400	0.3874793	0.5082643	-0.20567557	0.19810192
"Chr6:105520351-105521100"	"LIN28B"	"6"	105520351	105521100	0.8764988	0.9164056	0.0730394	-0.9899527
"Chr6:105535201-105535950"	"null"	"6"	105535201	105535950	0.6377863	0.7328345	-0.19965248	0.1779173
"Chr6:105765451-105767250"	"PREP"	"6"	105765451	105767250	0.027468324	0.064968824	1.4162266	-1.1068243
"Chr6:105773701-105776100"	"PREP"	"6"	105773701	105776100	0.6003699	0.7021591	-0.30087987	0.24611865
"Chr6:105831601-105832650"	"PREP"	"6"	105831601	105832650	0.80166525	0.8627337	0.11310153	-0.0995389
"Chr6:105871951-105872700"	"null"	"6"	105871951	105872700	0.9208876	0.94795096	0.04022198	-0.036219668
"Chr6:105880201-105881400"	"null"	"6"	105880201	105881400	2.8972272e-07	4.4115586e-06	2.9323335	-2.3992462
"Chr6:106039951-106041000"	"null"	"6"	106039951	106041000	4.543457e-05	0.00032866292	2.6073384	-2.0387943
"Chr6:106123651-106124700"	"null"	"6"	106123651	106124700	1.4529043e-07	2.4661224e-06	3.171951	-2.541822
"Chr6:106200751-106201800"	"null"	"6"	106200751	106201800	0.44940904	0.5661651	0.43570682	-0.35642037
"Chr6:106205101-106206000"	"null"	"6"	106205101	106206000	0.13264103	0.22434758	0.6731824	-0.5931022
"Chr6:106217251-106218750"	"null"	"6"	106217251	106218750	0.005817219	0.018617354	1.1687342	-1.0424775
"Chr6:106228051-106230450"	"null"	"6"	106228051	106230450	0.0006591286	0.0031063654	1.6811239	-1.443992
"Chr6:106257901-106259250"	"null"	"6"	106257901	106259250	1.1534647e-11	6.191649e-10	3.1826928	-2.7695272
"Chr6:106442251-106443750"	"null"	"6"	106442251	106443750	0.0066622444	0.02080893	2.226462	-1.5220758
"Chr6:106567051-106568100"	"null"	"6"	106567051	106568100	0.004348913	0.01461003	1.5764135	-1.3072973
"Chr6:106581751-106584150"	"null"	"6"	106581751	106584150	2.8619635e-05	0.00022291533	2.0547209	-1.7668124
"Chr6:106607101-106608300"	"null"	"6"	106607101	106608300	2.846757e-10	1.0211925e-08	2.6756577	-2.3858767
"Chr6:106642351-106643850"	"ATG5"	"6"	106642351	106643850	0.12625039	0.21603465	0.6546051	-0.5823038
"Chr6:106757551-106758600"	"ATG5"	"6"	106757551	106758600	1.973102e-05	0.00016367115	2.479162	-2.0177
"Chr6:106772701-106774350"	"null"	"6"	106772701	106774350	0.53916615	0.6483773	0.12250103	-0.119297765
"Chr6:106786951-106788000"	"null"	"6"	106786951	106788000	0.07761896	0.14801106	0.79782385	-0.70129627
"Chr6:106807651-106809600"	"AIM1"	"6"	106807651	106809600	3.898959e-05	0.0002890011	2.0597584	-1.7616011
"Chr6:106817551-106819500"	"AIM1"	"6"	106817551	106819500	0.73543906	0.81245536	-0.13603064	-0.9793682
"Chr6:106820401-106821750"	"AIM1"	"6"	106820401	106821750	0.7626811	0.83292806	0.13769105	-0.12086659
"Chr6:106967101-106968300"	"AIM1"	"6"	106967101	106968300	0.036174946	0.08102733	1.1161283	-0.9366003
"Chr6:106975351-106976850"	"AIM1"	"6"	106975351	106976850	2.5140794e-06	2.8416454e-05	2.479632	-2.0872865
"Chr6:106993951-106996800"	"AIM1"	"6"	106993951	106996800	2.0823065e-11	1.0286317e-09	2.7755046	-2.4867036
"Chr6:107008951-107010000"	"AIM1"	"6"	107008951	107010000	0.00019355124	0.0011240434	1.5582333	-1.3942318
"Chr6:107022301-107023350"	"RTN4IP1"	"6"	107022301	107023350	0.27480695	0.39247954	0.5884436	-0.49207354
"Chr6:107076751-107078100"	"RTN4IP1"	"6"	107076751	107078100	0.06982331	0.13608634	-0.3915096	0.37956607
"Chr6:107231401-107232600"	"null"	"6"	107231401	107232600	0.00078563095	0.003587148	-1.8357302	1.5280483
"Chr6:107318551-107319300"	"null"	"6"	107318551	107319300	0.5209108	0.63196987	-0.2919319	0.25613725
"Chr6:107342701-107343750"	"null"	"6"	107342701	107343750	0.0004082254	0.0020916278	-1.4275913	0.36153325
"Chr6:107348851-107350200"	"C6orf203"	"6"	107348851	107350200	0.39441717	0.5151154	0.21042483	-0.20209771
"Chr6:107400451-107401800"	"BEND3"	"6"	107400451	107401800	0.081621364	0.15385751	-0.6831937	0.6188366
"Chr6:107625451-107626500"	"PDSS2"	"6"	107625451	107626500	0.0017458107	0.0069435495	-1.2813691	1.1526027
"Chr6:107779801-107781750"	"PDSS2"	"6"	107779801	107781750	0.18272477	0.287081	-0.34757492	0.33231717
"Chr6:107945401-107946300"	"SOBP"	"6"	107945401	107946300	0.0070298235	0.02171824	-1.5594885	1.271722
"Chr6:107996101-107997300"	"null"	"6"	107996101	107997300	0.20251866	0.31095105	-0.54421747	0.48452747
"Chr6:108047401-108048450"	"SCML4"	"6"	108047401	108048450	0.00011605008	0.00072471594	-1.6047344	1.4382014
"Chr6:108169201-108170250"	"null"	"6"	108169201	108170250	0.038760554	0.08542391	-0.6556691	0.6139606
"Chr6:108277651-108280200"	"SEC63"	"6"	108277651	108280200	0.3513745	0.47249264	-0.20459539	0.1981513
"Chr6:108285451-108286500"	"null"	"6"	108285451	108286500	0.20717965	0.31624618	0.54988825	-0.4874878
"Chr6:108395251-108396600"	"OSTM1"	"6"	108395251	108396600	0.9646848	0.977701	0.010650413	-0.010250209
"Chr6:108454651-108456000"	"null"	"6"	108454651	108456000	0.7153908	0.7967302	0.19046745	-0.1608643
"Chr6:108521551-108522450"	"null"	"6"	108521551	108522450	0.094650626	0.17262408	0.6737735	-0.6073819
"Chr6:108581401-108583200"	"SNX3"	"6"	108581401	108583200	0.8485462	0.8960007	-0.0375241	0.036571514
"Chr6:108615451-108617250"	"LACE1"	"6"	108615451	108617250	0.46763346	0.58312285	-0.12596093	0.12345556
"Chr6:108783751-108784800"	"LACE1"	"6"	108783751	108784800	0.0004303519	0.002183411	-1.8767481	1.5752497
"Chr6:108822601-108823350"	"LACE1"	"6"	108822601	108823350	0.28527647	0.40357506	-0.420497	0.38080028
"Chr6:108840001-108840750"	"LACE1"	"6"	108840001	108840750	0.45964882	0.5757808	-0.28445622	0.25870046
"Chr6:108862801-108863850"	"null"	"6"	108862801	108863850	0.00019605583	0.0011338601	-1.3643377	1.2513963
"Chr6:108884851-108886500"	"FOXO3"	"6"	108884851	108886500	0.008864371	0.026253063	1.3507897	-1.144663
"Chr6:108994351-108995700"	"null"	"6"	108994351	108995700	0.32806927	0.4478779	-0.42560476	0.37728024
"Chr6:109009951-109011300"	"null"	"6"	109009951	109011300	0.032513503	0.07434158	1.1234094	-0.9469383
"Chr6:109052851-109054800"	"null"	"6"	109052851	109054800	0.003077683	0.010982018	1.1949879	-1.0766394
"Chr6:109067101-109068300"	"null"	"6"	109067101	109068300	0.010521866	0.030214299	-1.4388684	1.1846453
"Chr6:109102651-109104600"	"null"	"6"	109102651	109104600	0.5619909	0.66903466	-0.19806418	0.1836047
"Chr6:109156201-109157100"	"null"	"6"	109156201	109157100	0.57207924	0.67765355	-0.21426643	0.19529562
"Chr6:109168951-109170300"	"null"	"6"	109168951	109170300	0.9943619	0.9962715	0.0019630634	-0.0018659135
"Chr6:109258051-109259100"	"ARMC2"	"6"	109258051	109259100	0.0730484	0.14116204	-0.71073663	0.6429603
"Chr6:109329751-109331550"	"SESN1"	"6"	109329751	109331550	0.27061242	0.38777393	0.3082367	-0.29277232
"Chr6:109415101-109417500"	"SESN1"	"6"	109415101	109417500	0.5695995	0.6756042	-0.10257134	0.10036801
"Chr6:109460101-109460850"	"CEP57L1"	"6"	109460101	109460850	0.0006218517	0.0029621376	1.9378124	-1.5931462
"Chr6:109614901-109615950"	"null"	"6"	109614901	109615950	0.49323228	0.6068573	-0.42016625	0.33518693
"Chr6:109657351-109658550"	"null"	"6"	109657351	109658550	0.45181453	0.56826514	-0.3844562	0.32672903
"Chr6:109702501-109705050"	"CD164"	"6"	109702501	109705050	0.4676099	0.58312285	-0.12429036	0.12188271
"Chr6:109714801-109715850"	"PPIL6"	"6"	109714801	109715850	0.02767879	0.06535746	0.8078495	-0.7407182
"Chr6:109761151-109763250"	"PPIL6"	"6"	109761151	109763250	0.46504703	0.5805377	0.20169497	-0.19183151
"Chr6:109847851-109848900"	"AKD1"	"6"	109847851	109848900	0.29582408	0.41496304	-0.3777407	0.34720606
"Chr6:110011351-110013300"	"FIG4"	"6"	110011351	110013300	0.035321236	0.079592556	-0.54954815	0.5253691
"Chr6:110026051-110027100"	"FIG4"	"6"	110026051	110027100	0.031356845	0.072182305	-0.76945543	0.7085281
"Chr6:110064601-110065650"	"FIG4"	"6"	110064601	110065650	1.379231e-05	0.00012109705	2.3677707	-1.9713067
"Chr6:110114551-110115600"	"FIG4"	"6"	110114551	110115600	0.004954949	0.016271012	1.3119164	-1.1436294
"Chr6:110213551-110215050"	"null"	"6"	110213551	110215050	0.11637708	0.20289744	-0.6844835	-0.40479314
"Chr6:110265301-110266350"	"null"	"6"	110265301	110266350	0.12651636	0.21633855	-0.56250346	0.5154977
"Chr6:110282401-110284050"	"null"	"6"	110282401	110284050	0.41298944	0.5325812	0.39028996	-0.33818948
"Chr6:110360251-110361750"	"null"	"6"	110360251	110361750	0.123191565	0.2120555	0.68366235	-0.6036129
"Chr6:110499451-110502450"	"CDC40"	"6"	110499451	110502450	0.13524826	0.2279339	-0.29199696	0.2846577
"Chr6:110719651-110720850"	"DDO"	"6"	110719651	110720850	0.0042491197	0.014339573	1.5215989	-1.2779185
"Chr6:110812351-110813700"	"null"	"6"	110812351	110813700	0.0027399568	0.009998876	2.0115473	-1.5401025
"Chr6:110830201-110831700"	"null"	"6"	110830201	110831700	4.71946e-07	6.7151823e-06	2.4572058	-2.1168962
"Chr6:110857951-110859600"	"null"	"6"	110857951	110859600	0.0035660435	0.012427868	1.5011415	-1.2729586
"Chr6:110868151-110869800"	"null"	"6"	110868151	110869800	0.00057354895	0.002769313	1.6389583	-1.4213535
"Chr6:111003301-111004200"	"CDK19"	"6"	111003301	111004200	0.0052889264	0.017208107	1.3249757	-1.1498083
"Chr6:111021151-111022650"	"CDK19"	"6"	111021151	111022650	1.18287435e-05	0.00010669189	1.7234478	-1.5603076
"Chr6:111115951-111117000"	"CDK19"	"6"	111115951	111117000	0.17000742	0.27167597	-0.5297953	0.481442
"Chr6:111135301-111137850"	"CDK19"	"6"	111135301	111137850	0.3475275	0.46852723	-0.17437543	0.17041141
"Chr6:111181351-111182100"	"null"	"6"	111181351	111182100	0.06634473	0.13063724	-0.7431296	0.66962487
"Chr6:111265501-111266550"	"null"	"6"	111265501	111266550	3.4818996e-15	4.4061586e-13	3.0201156	-2.7463157
"Chr6:111279301-111280650"	"GTF3C6"	"6"	111279301	111280650	0.028187336	0.066317245	-0.3459928	0.34028465
"Chr6:111302551-111304200"	"RPF2"	"6"	111302551	111304200	0.41342297	0.53280056	-0.16264889	0.15842113
"Chr6:111426451-111427500"	"SLC16A10"	"6"	111426451	111427500	0.32511503	0.44488636	-0.54189974	0.44940338
"Chr6:111549451-111550500"	"null"	"6"	111549451	111550500	0.0021284304	0.008157676	1.6811309	-1.3978723
"Chr6:111559351-111560400"	"null"	"6"	111559351	111560400	0.72450966	0.8040254	0.13341475	-0.12157028
"Chr6:111579751-111581250"	"KIAA1919"	"6"	111579751	111581250	0.66654164	0.75669456	-0.11376375	0.10865418
"Chr6:111584701-111585900"	"KIAA1919"	"6"	111584701	111585900	0.030260477	0.070150144	0.88341874	-0.7943935
"Chr6:111873151-111874200"	"null"	"6"	111873151	111874200	0.014111708	0.038195502	-0.69338256	0.6579539
"Chr6:111912001-111913500"	"TRAF3IP2"	"6"	111912001	111913500	5.0566596e-06	5.1710776e-05	1.6258078	-1.4974676
"Chr6:112259851-112260450"	"null"	"6"	112259851	112260450	0.118139744	0.20535259	-0.6898685	0.6096183
"Chr6:112293901-112295250"	"null"	"6"	112293901	112295250	9.376465e-07	1.2229708e-05	1.7507119	-1.6120822
"Chr6:112305601-112307700"	"null"	"6"	112305601	112307700	0.022616312	0.055629876	0.9016796	-0.81555253
"Chr6:112318051-112318950"	"null"	"6"	112318051	112318950	0.06296295	0.12513481	-0.8584519	0.7504912
"Chr6:112363801-112365600"	"null"	"6"	112363801	112365600	0.052922264	0.10923873	-0.51583594	0.49225232
"Chr6:112407451-112409400"	"TUBE1"	"6"	112407451	112409400	0.19723816	0.3045731	-0.33108553	0.31698552
"Chr6:112438501-112439400"	"LAMA4"	"6"	112438501	112439400	0.595002	0.6975545	-0.2605695	0.22428451
"Chr6:112475101-112476000"	"LAMA4"	"6"	112475101	112476000	0.43847677	0.5557677	0.5462664	-0.4090917
"Chr6:112619551-112620900"	"null"	"6"	112619551	112620900	0.064917885	0.12838519	1.0872086	-0.8807948
"Chr6:112734751-112735800"	"null"	"6"	112734751	112735800	0.001056829	0.004598768	-1.2867283	1.1653327
"Chr6:112832251-112833300"	"null"	"6"	112832251	112833300	0.050946124	0.10609494	-0.8089397	0.72588736
"Chr6:113012101-113013150"	"null"	"6"	113012101	113013150	0.3404191	0.46084583	-0.6260917	0.4849257
"Chr6:113101501-113102250"	"null"	"6"	113101501	113102250	0.4708445	0.58606505	0.44834757	-0.35544387
"Chr6:113440951-113442750"	"null"	"6"	113440951	113442750	0.00206441	0.0079460805	1.6969088	-2.0855336
"Chr6:113672251-113674650"	"null"	"6"	113672251	113674650	2.0710214e-10	7.698505e-09	2.7144957	-2.4164715
"Chr6:113681851-113683500"	"null"	"6"	113681851	113683500	8.589749e-05	0.00056538725	1.6039758	-1.4417462
"Chr6:113767951-113769000"	"null"	"6"	113767951	113769000	0.0014886028	0.0060741045	1.7840232	-1.4708679
"Chr6:113785801-113787000"	"null"	"6"	113785801	113787000	0.00019733382	0.0011394783	1.6336201	-1.4453217
"Chr6:113881801-113882850"	"null"	"6"	113881801	113882850	8.4971514e-05	0.00056016026	2.4878342	-1.9538306
"Chr6:113952901-113954700"	"null"	"6"	113952901	113954700	0.010886113	0.031074222	0.906354	-0.83500177
"Chr6:113965651-113966700"	"null"	"6"	113965651	113966700	0.03665444	0.0819017	0.83154637	-0.7514113
"Chr6:113975251-113976300"	"null"	"6"	113975251	113976300	0.23214948	0.34516582	0.663689	-0.5492899
"Chr6:114009301-114010350"	"null"	"6"	114009301	114010350	0.63193035	0.7281315	0.1867722	-0.16944541
"Chr6:114015001-114016350"	"null"	"6"	114015001	114016350	8.206971e-06	7.814886e-05	2.094608	-1.8232304
"Chr6:114039901-114041100"	"null"	"6"	114039901	114041100	0.71265644	0.79466707	0.18350872	-0.157154
"Chr6:114084451-114085800"	"null"	"6"	114084451	114085800	0.4187456	0.5378653	0.33223265	-0.29819128
"Chr6:114094951-114096150"	"null"	"6"	114094951	114096150	0.014761752	0.03964105	1.4204388	-1.1552913
"Chr6:114209401-114210300"	"null"	"6"	114209401	114210300	0.04234501	0.091529	-0.84658766	0.7583634
"Chr6:114230401-114231000"	"null"	"6"	114230401	114231000	0.77164143	0.8394145	-0.16528472	0.13549489
"Chr6:114291001-114293250"	"HDAC2"	"6"	114291001	114293250	0.009630155	0.028068367	-0.43688118	0.4286442
"Chr6:114317851-114319050"	"null"	"6"	114317851	114319050	0.0009720688	0.004280673	1.8186703	-1.5081353
"Chr6:114338101-114339000"	"null"	"6"	114338101	114339000	0.0057443087	0.01841771	1.4543401	-1.2250463
"Chr6:114429301-114430200"	"null"	"6"	114429301	114430200	0.20331989	0.31185925	0.6259991	-0.537876
"Chr6:116202901-116204700"	"null"	"6"	116202901	116204700	0.17947657	0.2831145	0.7436453	-0.6160297
"Chr6:116211901-116212950"	"null"	"6"	116211901	116212950	3.9820497e-05	0.00029442617	2.4475968	-1.9723085
"Chr6:116253451-116254200"	"null"	"6"	116253451	116254200	0.00038633734	0.0019966806	2.0103726	-1.6508901
"Chr6:116331751-116333550"	"FRK"	"6"	116331751	116333550	9.581293e-06	8.929129e-05	2.5099883	0.2810376
"Chr6:116380501-116382900"	"FRK"	"6"	116380501	116382900	2.3828228e-10	8.726648e-09	3.5745542	-2.9351065
"Chr6:116394751-116395950"	"null"	"6"	116394751	116395950	0.00029590825	0.001604032	1.7663863	-1.5219444
"Chr6:116421151-116422950"	"NT5DC1"	"6"	116421151	116422950	0.0018143366	0.0071634017	1.182963	-1.0782658
"Chr6:116574301-116576250"	"TSPYL4"	"6"	116574301	116576250	0.07135463	0.13849905	-0.33622578	0.32851782
"Chr6:116585851-116586900"	"DSE"	"6"	116585851	116586900	0.69895524	0.7835022	-0.13201697	0.122353815
"Chr6:116599951-116602050"	"DSE"	"6"	116599951	116602050	0.8387324	0.8889212	0.04833219	-0.04656027
"Chr6:116690851-116693400"	"DSE"	"6"	116690851	116693400	0.0036621103	0.012697195	1.3356713	-1.1689334
"Chr6:116706301-116709300"	"DSE"	"6"	116706301	116709300	2.2664188e-05	0.00018309907	2.023923	-1.7532749
"Chr6:116726701-116728050"	"DSE"	"6"	116726701	116728050	0.06439611	0.12751442	1.0295852	-0.85143507
"Chr6:116740051-116740950"	"DSE"	"6"	116740051	116740950	5.9170696e-05	0.0004110297	1.783871	-1.574328
"Chr6:116832301-116833350"	"BET3L"	"6"	116832301	116833350	5.9774884e-08	1.1424071e-06	3.349775	-2.6548693
"Chr6:116891701-116893350"	"RWDD1"	"6"	116891701	116893350	0.5650338	0.6718234	-0.11581696	0.11273445
"Chr6:116945251-116946300"	"RSPH4A"	"6"	116945251	116946300	0.11285108	0.19816743	-0.6846335	0.60766894
"Chr6:116989201-116990550"	"ZUFSP"	"6"	116989201	116990550	0.7462297	0.82085305	-0.075424984	0.07275701
"Chr6:117001351-117003900"	"KPNA5"	"6"	117001351	117003900	0.008607027	0.025654307	-0.55509543	0.5388671
"Chr6:117160951-117162000"	"null"	"6"	117160951	117162000	0.63270533	0.7286856	0.23410593	-0.2014629
"Chr6:117558451-117559650"	"null"	"6"	117558451	117559650	0.4015468	0.5215864	-0.4173953	0.35777488
"Chr6:117762001-117762900"	"null"	"6"	117762001	117762900	0.00030502962	0.0016450799	2.0742655	-1.6958562
"Chr6:117785101-117786300"	"null"	"6"	117785101	117786300	1.0191749e-09	3.1571066e-08	3.365544	-2.787894
"Chr6:117802801-117805050"	"DCBLD1"	"6"	117802801	117805050	0.41719753	0.5364793	0.19274926	-0.18567707
"Chr6:117819001-117820200"	"DCBLD1"	"6"	117819001	117820200	0.00045274096	0.0022784923	2.0594172	-1.6692511
"Chr6:117869551-117870600"	"DCBLD1"	"6"	117869551	117870600	0.0006265923	0.0029813764	1.9307424	-1.587499
"Chr6:117922501-117924600"	"GOPC"	"6"	117922501	117924600	0.102735735	0.18394578	-0.3209744	0.3128061
"Chr6:117995851-117997050"	"NUS1"	"6"	117995851	117997050	0.12858233	0.21897729	-0.45754611	0.43116003
"Chr6:118054201-118055250"	"null"	"6"	118054201	118055250	0.8214687	0.8760251	-0.095239885	0.08512665
"Chr6:118150501-118151400"	"null"	"6"	118150501	118151400	0.07835856	0.1491059	-0.8472696	0.73260975
"Chr6:118709251-118710150"	"null"	"6"	118709251	118710150	9.144813e-06	8.57611e-05	2.4209151	-2.014918
"Chr6:118816501-118817550"	"C6orf204"	"6"	118816501	118817550	0.076564066	0.14649372	1.0076878	-0.8269198
"Chr6:118971451-118973400"	"C6orf204"	"6"	118971451	118973400	0.2812113	0.3991724	-0.22935279	0.2225499
